N.º,Región >> Perú,"PIB nominal (millones S/) >> 602,527","PIB (millones USD - PPP) >> 393,125",País comparable​ >>  Chile
1,Lima,"306,331","199,869", Uzbekistán
2,Arequipa,"56,739","35, 824",Kirguistán
3,La Libertad,"29,798","19,442", Níger
4,Piura,"26,595","17,352", Kosovo
5,Cusco,"23,126","15,089", Islandia
6,Ica,"21,301","13,898", Islandia
7,Áncash,"20,568","13,420", Bahamas
8,Junín,"18,071","11,791", Bahamas
9,Cajamarca,"15,763","10,285", Sierra Leona
10,Lambayeque,"15,547","10,144",Montenegro
11,Puno,"13,556","8,844", Surinam
12,Loreto,"10,713","6,990", Bután
13,San Martín,"8,049","5,252", Barbados
14,Moquegua,"7,931","5,175", Barbados
15,Ayacucho,"7,538","4,919", Barbados
16,Huánuco,"7,494","4,889", Barbados
17,Tacna,"7,063","4,608", Barbados
18,Ucayali,"5,918","3,861", Liberia
19,Pasco,"5,749","3,751", Liberia
20,Huancavelica,"4,640","3,028", República Centroafricana
21,Amazonas,"4,258","2,779", Guinea-Bisáu
22,Apurímac,"3,897","2,543", Seychelles
23,Madre de Dios,"3,459","2,257", Santa Lucía
24,Tumbes,"3,422","2,233", Antigua y Barbuda
